;STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
137;44;2018082017;3;0.1;1;-999;eor
138;44;2018082018;3;0.0;0;-999;eor
139;44;2018082019;3;0.0;0;-999;eor
140;44;2018082020;3;0.0;0;-999;eor
141;44;2018082021;3;0.0;0;-999;eor
142;44;2018082022;3;0.0;0;-999;eor
143;44;2018082023;3;0.0;0;-999;eor
144;44;2018082100;3;0.0;0;-999;eor
145;44;2018082101;3;0.0;0;-999;eor
146;44;2018082102;3;0.0;0;-999;eor
147;44;2018082103;3;0.0;0;-999;eor
148;44;2018082104;3;0.0;0;-999;eor
149;44;2018082105;3;0.0;0;-999;eor
150;44;2018082106;3;0.0;0;-999;eor
151;44;2018082107;3;0.0;0;-999;eor
152;44;2018082108;3;0.0;0;-999;eor
153;44;2018082109;3;0.0;0;-999;eor
154;44;2018082110;3;0.0;0;-999;eor
155;44;2018082111;3;0.0;0;-999;eor
156;44;2018082112;3;0.0;0;-999;eor
157;44;2018082113;3;0.0;0;-999;eor
158;44;2018082114;3;0.0;0;-999;eor
159;44;2018082115;3;0.0;0;-999;eor
160;44;2018082116;3;0.0;0;-999;eor
161;44;2018082117;3;0.0;0;-999;eor
162;44;2018082118;3;0.0;0;-999;eor
163;44;2018082119;3;0.0;0;-999;eor
164;44;2018082120;3;0.0;0;-999;eor
165;44;2018082121;3;0.0;0;-999;eor
166;44;2018082122;3;0.0;0;-999;eor
167;44;2018082123;3;0.0;0;-999;eor
168;44;2018082200;3;0.0;0;-999;eor
169;44;2018082201;3;0.0;0;-999;eor
170;44;2018082202;3;0.0;0;-999;eor
171;44;2018082203;3;0.0;0;-999;eor
172;44;2018082204;3;0.0;0;-999;eor
173;44;2018082205;3;0.0;0;-999;eor
174;44;2018082206;3;0.0;0;-999;eor
175;44;2018082207;3;0.0;0;-999;eor
176;44;2018082208;3;0.0;0;-999;eor
177;44;2018082209;3;0.0;0;-999;eor
178;44;2018082210;3;0.0;0;-999;eor
179;44;2018082211;3;0.0;0;-999;eor
180;44;2018082212;3;0.0;0;-999;eor
181;44;2018082213;3;0.0;0;-999;eor
182;44;2018082214;3;0.0;0;-999;eor
183;44;2018082215;3;0.0;0;-999;eor
184;44;2018082216;3;0.0;0;-999;eor
185;44;2018082217;3;0.0;0;-999;eor
186;44;2018082218;3;0.0;0;-999;eor
