STATIONS_ID;MESS_DATUM;QN_8;  R1;RS_IND;WRTR;eor
         44;2018081500;    3;   0.0;   0;-999;eor
         44;2018081501;    3;   0.0;   0;-999;eor
         44;2018081502;    3;   0.0;   0;-999;eor
         44;2018081503;    3;   0.0;   0;-999;eor
         44;2018081504;    3;   0.0;   0;-999;eor
         44;2018081505;    3;   0.0;   0;-999;eor
         44;2018081506;    3;   0.0;   0;-999;eor
         44;2018081507;    3;   0.0;   0;-999;eor
         44;2018081508;    3;   0.0;   0;-999;eor
         44;2018081509;    3;   0.0;   0;-999;eor
         44;2018081510;    3;   0.0;   0;-999;eor
         44;2018081511;    3;   0.0;   0;-999;eor
         44;2018081512;    3;   0.0;   0;-999;eor
         44;2018081513;    3;   0.0;   0;-999;eor
         44;2018081514;    3;   0.0;   0;-999;eor
         44;2018081515;    3;   0.0;   0;-999;eor
         44;2018081516;    3;   0.0;   0;-999;eor
         44;2018081517;    3;   0.0;   0;-999;eor
         44;2018081518;    3;   0.0;   0;-999;eor
         44;2018081519;    3;   0.0;   0;-999;eor
         44;2018081520;    3;   0.0;   0;-999;eor
         44;2018081521;    3;   0.0;   0;-999;eor
         44;2018081522;    3;   0.0;   0;-999;eor
         44;2018081523;    3;   0.0;   0;-999;eor
         44;2018081600;    3;   0.0;   0;-999;eor
         44;2018081601;    3;   0.0;   0;-999;eor
         44;2018081602;    3;   0.0;   0;-999;eor
         44;2018081603;    3;   0.0;   0;-999;eor
         44;2018081604;    3;   0.0;   0;-999;eor
         44;2018081605;    3;   0.0;   0;-999;eor
         44;2018081606;    3;   0.0;   0;-999;eor
         44;2018081607;    3;   0.0;   0;-999;eor
         44;2018081608;    3;   0.0;   0;-999;eor
         44;2018081609;    3;   0.0;   0;-999;eor
         44;2018081610;    3;   0.0;   0;-999;eor
         44;2018081611;    3;   0.0;   0;-999;eor
         44;2018081612;    3;   0.0;   0;-999;eor
         44;2018081613;    3;   0.0;   0;-999;eor
         44;2018081614;    3;   0.0;   0;-999;eor
         44;2018081615;    3;   0.0;   0;-999;eor
         44;2018081616;    3;   0.0;   0;-999;eor
         44;2018081617;    3;   0.0;   0;-999;eor
         44;2018081618;    3;   0.0;   0;-999;eor
         44;2018081619;    3;   0.0;   0;-999;eor
         44;2018081620;    3;   0.0;   0;-999;eor
         44;2018081621;    3;   0.0;   0;-999;eor
         44;2018081622;    3;   0.0;   0;-999;eor
         44;2018081623;    3;   0.0;   0;-999;eor
         44;2018081700;    3;   0.0;   0;-999;eor
         44;2018081701;    3;   0.0;   0;-999;eor
         44;2018081702;    3;   0.0;   0;-999;eor
         44;2018081703;    3;   0.0;   0;-999;eor
         44;2018081704;    3;   0.0;   0;-999;eor
         44;2018081705;    3;   0.0;   0;-999;eor
         44;2018081706;    3;   0.0;   0;-999;eor
         44;2018081707;    3;   0.7;   1;-999;eor
         44;2018081708;    3;   0.4;   1;-999;eor
         44;2018081709;    3;   1.2;   1;-999;eor
         44;2018081710;    3;   0.0;   1;-999;eor
         44;2018081711;    3;   0.0;   0;-999;eor
         44;2018081712;    3;   0.0;   0;-999;eor
         44;2018081713;    3;   0.0;   0;-999;eor
